Trial;Subject;Sex;Experiment;Distance_moved;Velocity ;Movement_Moving;Movement_Not_Moving;central zone;peripheral zone
1;M9;M;Control;1778.83;1.97648;521.88;378.12;0;900.12
1;F9;F;Control;1183.1;1.31456;515.28;384.72;3.48;896.64
1;F19;F;Control;2482.56;2.75839;542.64;357.36;9.72;890.4
1;F1;F;Control;2226.3;2.47366;606.24;293.76;2.88;897.24
1;M5;M;Control;2163.72;2.40414;614.4;285.6;28.68;871.44
1;F3;F;Control;3138.84;3.4876;675.48;224.52;3.48;896.64
1;M13;M;Control;1770.28;1.96697;522;378;0.24;899.88
1;F5;F;Control;1607.74;1.78638;465.84;434.16;0;900.12
1;F13;F;Control;2861.16;3.17906;666.36;233.64;6.12;894
1;M3;M;Control;2932.34;3.25815;721.56;178.44;30.24;869.88
1;M7;M;Control;1844.95;2.04995;456.24;443.76;0.48;899.64
1;M17;M;Control;1791.94;1.99104;547.08;352.92;6.24;893.88
1;F7;F;Control;1733.03;1.92559;491.76;408.24;0;900.12
1;F17;F;Control;2442.78;2.7142;627.36;272.64;17.64;882.48
1;M15;M;Control;1608.48;1.7872;507;392.88;8.28;891.84
1;M19;M;Control;1750.16;1.94463;541.08;358.92;6.24;893.88
1;M1;M;Control;1280.45;1.42272;402.36;497.64;8.88;891.24
1;F15;F;Control;1798.22;1.99803;501.48;398.52;1.44;898.68
1;M11;M;Control;1193.58;1.3262;384.84;515.16;6.84;893.28
1;F11;F;Control;2897.48;3.21943;695.76;204.24;0;900.12
2;M9;M;Control;1259.61;1.39957;386.04;513.96;5.4;894.72
2;F9;F;Control;1762.95;1.95884;507.96;392.04;0;900.12
2;F19;F;Control;2665.49;2.96165;569.76;330.24;3.72;896.4
2;F1;F;Control;2014.1;2.23789;571.44;328.56;1.32;898.8
2;M5;M;Control;1554.96;1.72774;546.48;353.52;9.24;890.88
2;F3;F;Control;2826.02;3.14002;561.84;338.16;12.72;887.4
2;M13;M;Control;2146.86;2.3854;518.04;381.96;0;900.12
2;F5;F;Control;1542.38;1.71376;427.92;472.08;11.04;889.08
2;F13;F;Control;2643.22;2.93691;607.92;292.08;0;900.12
2;M3;M;Control;2937.01;3.26334;659.04;240.96;19.56;880.56
2;M7;M;Control;1571.47;1.74608;439.56;460.44;6.36;893.76
2;M17;M;Control;1195.58;1.32843;448.08;451.92;0.72;899.4
2;F7;F;Control;1522.7;1.69189;413.76;486.24;0.12;900
2;F17;F;Control;1399.25;1.55472;418.68;481.32;9.84;890.28
2;M15;M;Control;1270.49;1.41166;428.76;471.24;0.48;899.64
2;M19;M;Control;1521.06;1.69007;454.08;445.92;11.16;888.96
2;F15;F;Control;1761.73;1.95748;446.04;453.96;10.2;889.92
2;M11;M;Control;1103.02;1.22558;304.56;595.44;0.36;899.76
2;M1;M;Control;912.87;1.0143;346.32;553.68;0;900.12
2;F11;F;Control;2062.58;2.29176;517.32;382.68;0;900.12
3;M7;M;Control;2007.27;2.2303;556.68;343.32;8.28;891.84
3;M13;M;Control;2269.49;2.52165;547.8;352.2;22.44;877.68
3;M15;M;Control;1101.31;1.22368;394.44;505.56;13.2;886.92
3;M1;M;Control;1151.38;1.27931;403.8;496.2;14.76;885.36
