Trial;Subject;Sex;Experiment;Tounge_flick;Escape_attempt
T1;M9;M;Control;85;49
T1;F9;F;Control;93;55
T1;F19;F;Control;84;87
T1;F1;F;Control;110;49
T1;M5;M;Control;106;57
T1;F3;F;Control;133;108
T1;M13;M;Control;114;23
T1;F5;F;Control;93;43
T1;F13;F;Control;106;97
T1;M3;M;Control;119;89
T1;M7;M;Control;60;48
T1;M17;M;Control;96;93
T1;F7;F;Control;79;49
T1;F17;F;Control;84;50
T1;M15;M;Control;69;24
T1;M19;M;Control;79;81
T1;M1;M;Control;60;20
T1;F15;F;Control;59;52
T1;M11;M;Control;61;35
T1;F11;F;Control;72;65
T1;M10;M;Test;97;26
T1;M18;M;Test;54;23
T1;M2;M;Test;82;21
T1;M12;M;Test;90;79
T1;F14;F;Test;90;52
T1;M16;M;Test;54;52
T1;M14;M;Test;75;34
T1;M6;M;Test;55;53
T1;M20;M;Test;133;100
T1;F20;F;Test;82;93
T1;F6;F;Test;83;43
T1;F2;F;Test;95;58
T1;M8;M;Test;58;67
T1;F10;F;Test;59;35
T1;F12;F;Test;72;34
T1;F18;F;Test;70;19
T1;F8;F;Test;82;20
T1;M4;M;Test;74;68
T1;F16;F;Test;66;42
T1;F4;F;Test;82;41
T2;F7;F;Control;75;66
T2;F1;F;Control;82;43
T2;M15;M;Control;63;61
T2;F17;F;Control;80;52
T2;M5;M;Control;79;8
T2;M1;M;Control;65;86
T2;M13;M;Control;86;9
T2;M3;M;Control;91;22
T2;F19;F;Control;98;38
T2;F5;F;Control;89;66
T2;F3;F;Control;74;46
T2;F9;F;Control;85;64
T2;M7;M;Control;78;29
T2;F13;F;Control;98;45
T2;M19;M;Control;79;16
T2;M17;M;Control;76;81
T2;F11;F;Control;93;32
T2;M11;M;Control;81;21
T2;M9;M;Control;66;75
T2;F15;F;Control;70;50
T2;F6;F;Test;71;51
T2;F2;F;Test;40;27
T2;F16;F;Test;45;27
T2;M16;M;Test;65;71
T2;M6;M;Test;55;19
T2;F10;F;Test;60;53
T2;F20;F;Test;74;57
T2;M4;M;Test;62;70
T2;M10;M;Test;77;64
T2;F18;F;Test;54;20
T2;M18;M;Test;63;74
T2;M12;M;Test;56;48
T2;F14;F;Test;45;50
T2;F8;F;Test;76;66
